Sample,Source
AF023,Cattle
AF027,Horse
AF044,Chicken
AF057,Chicken
AF065,Pig
AF067,Pig
AF068,Pig
AF080,Chicken
AF084,Cattle
AF101,Horse
AF104,Horse
AF105,Horse
AF128,Chicken
AF129,Chicken
AF187,Horse
AF196,Horse
AF202,Chicken
AF203,Chicken
AF289,Pig
AF292,Horse
AF293,Horse
AF305,Pig
AF321,Cattle
AF326,Cattle
AF336,Cattle
AF343,Cattle
AF345,Cattle
AF374,Pig
AF375,Pig
AF378,Chicken
AF382,Cattle
AF383,Pig
AF385,Cattle
AF386,Cattle
AF387,Cattle
AF388,Pig
AF390,Pig
AF425,Cattle
AF445,Chicken
AF454,Horse
AF456,Pig
AF481,Horse
AF514,Horse
AF557,Pig
AF558,Horse
AF581,Chicken
AF582,Chicken
AF583,Chicken
