,Zotu36,Zotu1384,Zotu1458,Zotu1846,Zotu2464,Zotu2882,Zotu5523,Zotu9338,Zotu22563,Zotu1311,Zotu59946,Zotu2953,Zotu5726,Zotu7058,Zotu10590,Zotu12174,Zotu15932,Zotu8501,Zotu10530,Zotu12011,Zotu14256,Zotu15313,Zotu15767,Zotu21269,Zotu6340,Zotu8277,Zotu16200,Zotu60,Zotu17086,Zotu4424,Zotu7180,Zotu24840,Zotu482,Zotu812,Zotu1002,Zotu1195,Zotu1343,Zotu1728,Zotu9349,Zotu9674,Zotu9750,Zotu12990,Zotu14873,Zotu16060,Zotu22648,Zotu24007,Zotu313,Zotu1412,Zotu4637,Zotu18732,Zotu9192,Zotu9611,Zotu25995,Zotu13055,Zotu13291,Zotu964,Zotu5998,Zotu16484,Zotu11837,Zotu5313,Zotu3730,Zotu1599,Zotu16367,Zotu16485,Zotu20532,Zotu28588,Zotu33899,Zotu69465,Zotu673,Zotu4781,Zotu1977,Zotu30200,Zotu18718,Zotu8186,Zotu881,Zotu12533,Zotu1005,Zotu9851,Zotu65478,Zotu15656,Zotu19433,Zotu23260,Zotu41484,Zotu88287,Zotu17597,Zotu17414,Zotu11066,Zotu12858,Zotu25605,Zotu80484,Zotu36387,Zotu92525,Zotu1575,Zotu6607,Zotu27626,Zotu59054,Zotu6396,Zotu9423,Zotu19019,Zotu19819,Zotu39009,Zotu49707,Zotu59379,Zotu10976,Zotu38471,Zotu13294,Zotu24931,Zotu28162,Zotu25637,Zotu26988,Zotu70225,Zotu20396,Zotu43421,Zotu45489,Zotu36737,Zotu40312,Zotu10648,Zotu22332,Zotu33561,Zotu73453,Zotu34252,Zotu63420,Zotu37191,Zotu29833,Zotu33992,Zotu29716,Zotu24864,Zotu45702,Zotu48703,Zotu58128,Zotu21906,Zotu31269,Zotu54254,Zotu69728,Zotu28207,Zotu23468,Zotu20312,Zotu45110,Zotu33173,Zotu47581,Zotu14738,Zotu90666,Zotu30872,Zotu27096,Zotu22999,Zotu37320,Zotu83197,Zotu84151,Zotu51855,Zotu37000,Zotu37519,Zotu15720,Zotu30696,Zotu78915,Zotu44902,Zotu33442,Zotu47949,Zotu64525,Zotu89005,Zotu25583,Zotu35957,Zotu43246,Zotu69961,Zotu35337,Zotu36520,Zotu47320,Zotu55869,Zotu88547,Zotu82973
AF023,0.523809523809524,0.0730158730158731,0,0.0317460317460317,0.104761904761905,0,0,0,0,0.00952380952380953,0.00952380952380953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF027,0,0,0,0,0,0,0,0,0,0,0,0.706666666666667,0,0.02,0.00666666666666666,0.02,0,0.0133333333333333,0.0933333333333329,0.0133333333333333,0.00666666666666666,0.00666666666666666,0.0666666666666666,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229508196721312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426229508196721,0.0327868852459017,0.0491803278688524,0.114754098360656,0.0491803278688524,0.0327868852459017,0.0655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483091787439613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072463768115942,0.00483091787439613,0.00483091787439613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622641509433962,0.0981132075471697,0.0113207547169811,0.0415094339622641,0.116981132075472,0.00754716981132077,0.0150943396226415,0.0188679245283019,0.0226415094339623,0.0113207547169811,0.00377358490566039,0.00377358490566039,0.00754716981132077,0.00377358490566039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754716981132077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754716981132077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47244094488189,0.00393700787401573,0.161417322834646,0.0590551181102363,0.078740157480315,0,0.0511811023622046,0.00393700787401573,0.0078740157480315,0,0,0.00393700787401573,0,0,0.094488188976378,0,0.0118110236220472,0,0.0078740157480315,0.00393700787401573,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031496062992126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116363636363636,0.149090909090909,0,0.0836363636363635,0.516363636363637,0,0.0509090909090907,0.00363636363636363,0.00727272727272727,0,0.00363636363636363,0.00363636363636363,0.00727272727272727,0.00727272727272727,0.0145454545454545,0,0.00363636363636363,0,0,0,0,0.00363636363636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109090909090909,0.00727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054054054054054,0.054054054054054,0.162162162162162,0.0810810810810811,0,0,0,0,0,0,0.135135135135135,0,0.270270270270271,0.0810810810810811,0,0,0,0,0,0,0,0,0.162162162162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF084,0.822727272727273,0.00909090909090907,0.00454545454545456,0,0.0636363636363637,0.00909090909090907,0,0.0136363636363636,0.00454545454545456,0.00454545454545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909090909090907,0,0,0,0,0.00909090909090907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909090909090907,0.00909090909090907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF101,0,0,0,0,0,0,0,0,0,0,0,0.0108303249097473,0.00361010830324911,0.00722021660649821,0.0288808664259928,0,0.0252707581227437,0,0.0108303249097473,0,0,0.00361010830324911,0,0.00722021660649821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83754512635379,0,0,0,0,0,0,0,0,0.0144404332129964,0.00361010830324911,0,0,0,0,0,0,0,0,0.00722021660649821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288808664259928,0.0108303249097473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
