SeqID,Domain,Phylum,Class,Order,Family,Genus
Zotu36,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu262,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Zotu465,Bacteria,Bacteroidetes,,,,
Zotu546,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu592,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira
Zotu812,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Zotu943,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,
Zotu958,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister
Zotu1012,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter
Zotu1166,Bacteria,Bacteroidetes,,,,
Zotu1190,Bacteria,Firmicutes,,,,
Zotu1407,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,
Zotu1415,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Zotu1452,Bacteria,Actinobacteria,Coriobacteriia,,,
Zotu1458,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,
Zotu1780,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,
Zotu1833,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Zotu1846,Bacteria,Firmicutes,,,,
Zotu1904,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,
Zotu2100,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,
Zotu2348,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Zotu2464,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu2882,Bacteria,Firmicutes,Clostridia,Clostridiales,,
Zotu2959,Bacteria,Bacteroidetes,Bacteroidia,,,
